# Time-averaged data for fix 5
# TimeStep c_flux[1] c_flux[2] c_flux[3] c_flux[4] c_flux[5] c_flux[6]
309000 -1165.34 -12204.7 -7434.79 -28.7664 -7444.48 -7407.75
310000 -1431.38 -10578.5 -7383.51 -203.941 -6175.53 -7351.64
311000 -1068.63 -10243.1 -7487.27 -56.1122 -5853.56 -7526.95
312000 -3344.7 -10585.9 -8067.73 -2386.08 -5911.59 -8077.77
313000 512.995 -11807.1 -8151.16 1603.08 -7196.01 -8151.04
314000 1168.73 -11144.6 -8724.71 2352.44 -6266.43 -8727.36
315000 3816.64 -5106.68 -8650.82 5361.94 -226.556 -8620.84
316000 5772.79 230.865 -8963.02 6436.22 4668.45 -8947.37
317000 4845.18 -3567.4 -8792.51 5272.17 920.594 -8759.2
318000 4960.52 -8284.85 -8799.07 5476.72 -3232.4 -8801.36
319000 6728.61 -9649.89 -8523.78 7640.91 -4923.31 -8485.35
320000 5033.06 -10383.7 -8338.11 6200.27 -6230.74 -8313.29
321000 3680.96 -12969.5 -7524.46 4465.11 -9281.37 -7513.71
322000 6131.94 -18612.2 -7019.66 6978.95 -15185.9 -6992.22
323000 4765.55 -18897.7 -6950.99 5628.39 -15282.5 -6936.43
324000 4771.57 -16010.5 -6969.58 5064.35 -11219.7 -6942.3
325000 3928.47 -14476.1 -7375.63 3741.7 -9991.12 -7358.52
326000 -614.669 -15850.1 -8478.98 -401.769 -11116.4 -8450.27
327000 1175.46 -13114.3 -7810.64 1302.73 -8202.49 -7821.04
328000 1483.74 -10217.8 -7472.82 1387.61 -5595.38 -7474.56
329000 1590.56 -10230.7 -6988.58 1406.6 -4808.43 -6980.96
330000 2912.4 -6717.67 -6615.03 3201.74 -2361.09 -6607.45
331000 4247.89 -5912.25 -6114.61 4748.5 -1301.08 -6105.74
332000 3979.56 -6810.1 -5796.62 4114.27 -2163.32 -5784.01
333000 3909.33 -7907.6 -5940.45 4218.51 -3466.93 -5941.79
334000 5106.28 -9535.3 -6033.07 5176.36 -5171.35 -6043.92
335000 944.761 -10630.4 -6522.83 865.755 -5913.47 -6510.29
336000 -2632.35 -8813.25 -6184.73 -3144.2 -4298.98 -6178.14
337000 -5945.6 -10213.3 -5845.4 -6448.12 -5661.17 -5844.66
338000 -5952.83 -10420.1 -5854.74 -6193.87 -5665.22 -5801
339000 -8758.2 -10404 -5711.74 -8626.83 -6111.78 -5695.53
340000 -8205.96 -10884.9 -5563.04 -7494.35 -6922.32 -5562.69
341000 -5435.59 -8957.8 -5492.07 -4939.38 -4878.09 -5486.57
342000 -6218.42 -8942.4 -5867.55 -5551.26 -4286.59 -5910.08
343000 -4394.82 -10562.3 -6647.71 -3791.06 -5981.57 -6668.28
344000 -4649.49 -8085.06 -6376.75 -4598.96 -2905.82 -6362.38
345000 -5851.43 -4536.21 -6068.12 -5576.56 196.946 -6063.15
346000 -7854.54 -6060.76 -5335.18 -7479.85 -1577.21 -5349.06
347000 -7866.77 -6326.64 -5700.6 -7023.59 -1338.49 -5671.19
348000 -7964.01 -8694.25 -6355.64 -6953.45 -3707.48 -6307.29
349000 -5017.61 -11379 -5979.48 -4714.41 -6346.24 -5988.65
350000 -5801.73 -9628.81 -6440.07 -5560.93 -4742.95 -6387.32
351000 -5220.46 -7484.6 -6685.33 -5443.16 -2809.02 -6643.44
352000 -5851.96 -7071.32 -6599.08 -5724.69 -2396.56 -6570.94
353000 -6826.27 -6529.6 -6460.63 -6450.09 -1912.79 -6425.92
354000 -6667.71 -2363.92 -6438.51 -5855.55 2339.75 -6454.44
355000 -4631.63 1570.69 -6491.56 -4253.71 5643.26 -6523.58
356000 -1794.41 3225.68 -5989.54 -1704.26 7124.57 -6008.06
357000 2949.1 5337.58 -4884.64 3621.89 9302.26 -4883.69
358000 4981.36 3392.73 -4579.93 5336.55 7517.02 -4535.44
359000 3710.46 6451.58 -4533.5 3644.77 10630.8 -4556.33
360000 5032.16 5264.62 -4770.07 4920.07 9586.12 -4720.73
361000 4447.09 6517.61 -5253.49 4198.48 10319.8 -5273.57
362000 3534.68 5256.29 -5496.59 3118.3 9046.56 -5475.81
363000 1792.79 3730.24 -5755.07 2149.09 7354.39 -5746.6
364000 1447.65 3955.88 -5715.62 2052 7478.39 -5721.9
365000 -2712.04 6192.19 -5115.22 -2276.47 9348.13 -5060.63
366000 -1973.23 6437.38 -5256.36 -1051.23 9791.07 -5281.61
367000 791.587 5971.18 -5883.98 1655.65 9256.68 -5947.8
368000 5334.77 5608.06 -5549.95 5678 9263.8 -5571.17
369000 9448.28 15.7047 -5075.84 9514.03 4416.9 -5047.56
370000 8145.95 67.3055 -5420.32 8304.88 4745.72 -5425.89
371000 8995.94 -190.083 -4709.23 9558.2 4615.72 -4713.33
372000 6294.08 211.959 -5751.41 6663.41 5396.79 -5757.31
373000 4754.56 2016.08 -5417.99 4873.47 6778.35 -5484.22
